Rank,Country,Teaching,International,Research,Citations,Income,Population
1,America,95.6,64,97.6,99.8,97.8,2243
2,UK,86.5,94.4,98.9,98.8,73.1,19919
3,America,92.5,76.3,96.2,99.9,63.3,15596
4,UK,88.2,91.5,96.7,97,55,18812
5,America,89.4,84,88.6,99.7,95.4,11074
6,America,83.6,77.2,99,99.8,45.2,20152
7,America,85.1,78.5,91.9,99.3,52.1,7929
8,UK,83.3,96,88.5,96.7,53.7,15060
9,Switzerland,77,97.9,95,91.1,80,18178
10,America,85.7,65,88.9,99.2,36.6,14221
11,America,77.6,70,90.4,98.2,100,15128
12,America,86.5,64.3,87.8,97.2,43.3,11751
13,America,80.4,61.9,91.1,99.7,47.9,36186
14,UK,78.1,94.4,91,94.2,40.5,26607
15,America,85.9,73.5,82.2,98.1,-,25055
16,America,80.8,56.4,88.6,98.5,47.9,38206
17,America,82,49.5,86.9,98.6,47.9,20376
18,America,77.9,63.9,86.1,97.2,33.7,21424
19,Canada,75.9,77.8,89.3,90.9,49.1,66198
20,America,76,56.5,78,99,100,15172
21,America,76.8,53.7,85.2,94.4,56.3,41786
22,America,67.4,57.1,88.8,99.1,57.5,11885
23,UK,69.8,93.6,80.6,94.3,32.2,
24,UK,68.6,89.8,77.2,96.3,36.1,25774
25,America,69.8,53.9,78.4,96.5,81.2,18334
26,Singapore,71.7,96.2,84.5,79.4,49.8,31592
27,UK,64.5,93.8,75.8,93.8,40.1,21394
28,Sweden,60.6,73.1,81.1,92.2,75.8,7774
29,Germany,70.5,62.8,77.4,85.7,100,35691
30,America,74.7,49.3,72.3,95.3,30.4,42056
31,Switzerland,61.3,98.6,67.5,94.6,65.4,9666
32,America,67.1,51.2,70,98.6,43.1,44020
33,Australia,62,87.1,75.5,86.6,64.6,40128
34,Canada,60.2,90.5,73.2,91.5,42.6,50152
35,Belgium,59.9,68.6,76.9,87.3,100,42503
36,America,64.5,45.8,81.2,86.8,52.8,42727
37,Germany,68.8,62.8,69.6,88.2,68.2,28881
38,Canada,66.1,85.5,72.1,78.9,40.3,31326
39,America,56.9,42.9,69.8,98.7,56.7,27233
39,America,52.6,61.5,66,99.2,90.4,22020
41,America,57.8,71.5,72.7,86,73.7,19967
42,China,77.8,49.2,72.4,69.1,100,40148
43,Japan,81.4,30.3,83,60.9,50.8,26199
44,America,60.1,58.4,72.7,84.3,57.3,35364
44,Hong Kong,64.6,99.5,72.8,70.1,53.7,19835
46,America,59.3,31.7,69.7,92.2,63.1,49427
47,China,73.3,39.5,83,58.8,100,39763
47,Netherlands,52.6,70.3,66.9,87.8,100,9248
49,Germany,63.7,62.6,77,73.6,36.1,29987
50,America,65.1,33,68.2,86.6,48.5,39655
51,America,62.8,57.8,55.7,96.4,31.4,8653
52,Australia,54.7,93.3,77.3,72.3,48,14604
53,Germany,61,63.8,66,80.1,99.2,35565
54,France,70.6,85.5,47.7,87.1,37.1,2400
55,Singapore,48.4,94.6,61.3,85.6,99.9,25028
56,UK,58.4,87,66,77.3,42,34938
56,Australia,54.3,84.4,68.1,77.5,72.4,41868
58,Netherlands,52.2,66.5,64.7,87.4,62.8,24570
59,Hong Kong,49.4,80.5,66.1,82.6,68.1,11385
60,Australia,49.2,89.3,62.8,82.4,76.7,34718
60,America,54.3,44.9,55.6,99.2,33.5,12528
62,Netherlands,48.1,55.8,64.3,88.1,89.1,30779
63,America,58,39,54.5,95.9,39.4,26518
64,America,57.8,51,49.5,97.7,30.3,24789
65,Netherlands,55,84,73.8,61.5,100,15920
65,America,53.5,35.3,61,88,98.5,46825
67,Netherlands,50.5,64.3,63.1,85.2,49.8,21222
68,America,49.3,56.3,58.9,93,38,36534
69,UK,47.6,82.4,51.6,91.2,40,17906
70,UK,47.9,86.4,51.9,87.7,34.4,15489
71,Netherlands,37.2,76.1,55.2,95.6,54.6,20580
72,Germany,57.9,69.2,72.2,60.2,35.1,33062
73,Australia,48.1,87.6,58.5,73.3,79.7,50882
74,Netherlands,43.3,63.9,56.9,84,92.4,24556
75,America,50.4,40.8,61.9,80.5,56.2,44501
76,UK,41.6,85.8,48.3,92.3,31.6,22616
76,Finland,48.4,51.8,60.4,82.1,31.6,23505
78,Germany,47,58.2,59.8,79.3,59.2,28327
79,America,50.6,33.9,50.3,92.3,39.3,26485
80,UK,47.4,90.3,53.1,78.2,37.7,18529
81,Sweden,44.1,59.6,61,80.9,39.5,25266
82,Denmark,49.8,83.3,42.7,86.2,45,27545
82,Australia,40.7,89.5,53.9,82.1,50,38309
84,Germany,47.4,60.3,51.1,80.5,100,26467
85,South Korea,66.5,30.9,70.5,50,85.4,26389
86,UK,49.7,92.3,47.3,78.8,30.6,8338
87,America,47.8,29.1,44.2,95.7,63.2,12161
88,Japan,70.6,26.1,69.3,46.6,79,22809
88,Netherlands,37.5,95.5,47.7,82.7,95.4,15626
90,America,48.3,51,37.1,96.7,48.9,12338
90,Sweden,39.7,74.1,53.6,81.3,70.4,28251
90,America,51.6,53,46.6,83.2,53.1,51462
93,UK,39.4,87.3,40,94.3,31.9,17755
94,Germany,45.1,63.6,47.5,85.3,-,32474
94,America,54.4,52.7,39.3,82.5,80.7,15408
94,Canada,39.8,76.1,44.8,84.9,88,23823
97,UK,42.4,81.9,48.8,80.1,43.4,23311
98,UK,34.1,93.5,41.3,93.3,36.8,14260
99,Germany,49.3,56.4,54.5,72.7,31.8,25581
99,America,47.3,56.4,52.6,76.8,32.2,44750
101,Switzerland,39.5,94.7,33.1,88.3,99.9,12551
101,France,53.5,92.8,44.6,64.7,82.3,2429
101,America,37.9,66.6,35.1,99.7,41.7,6333
104,America,50.7,38.3,35.8,93.3,40.8,6178
104,Switzerland,49.5,90.4,31.5,85.4,44,26583
106,Denmark,36.9,76.8,50.7,79.8,68.3,23895
106,America,39.9,59.2,41.8,91.6,48.9,26614
106,Germany,34.5,64.6,47.7,86.9,85.3,11761
108,America,47.6,47.6,48.1,81.7,33.7,11829
109,Australia,33.4,92.6,46.1,83.6,64.5,20851
110,Germany,49.4,54.1,56.3,63.2,98.1,37917
110,UK,39.8,88.4,43.6,82,37.5,20925
112,Italy,54.2,46.3,53.1,67.2,52,462
113,Canada,46.3,84.2,45.5,69.6,92.6,38264
113,France,52.8,74.1,32.7,82.9,37.4,27862
113,America,50.2,66.4,57.7,63.2,-,39256
116,South Korea,49.1,33.7,47.1,76.7,100,3055
117,America,45,43.5,42.1,88.2,32.3,31331
118,Belgium,42.1,54.2,54.5,71.2,88.3,32166
119,UK,39.4,82,41.8,82.7,34.7,25295
120,Switzerland,40,83.7,42.5,76.6,82.9,14708
120,South Africa,34.9,80.2,38.7,85.6,92.7,20040
120,America,51.8,33.3,56.8,67.7,-,50095
123,Germany,51.7,47,39.7,75.2,99.4,36146
123,America,43.9,34.7,55.7,75.4,35.9,37032
125,Germany,40.3,46.3,44.1,85.6,58.2,39838
125,Netherlands,34.3,60.9,48.5,84.9,39.2,17713
127,America,39.7,36.6,37.6,96.4,35.7,29325
127,America,45.2,49.4,33.3,90.1,60.7,10410
129,UK,35.1,92.7,33.2,91.2,34.4,8747
130,UK,34,87,41.4,85.3,33.6,11512
131,Switzerland,34.9,98.5,40.5,78.5,72.4,15668
131,UK,41.9,83.5,46.3,73.1,31.1,
133,America,46.1,40.5,33.2,92,34.1,9259
133,UK,43.7,77.4,39,79.2,36.7,27703
135,Norway,43.3,68.2,44.7,75.5,38.3,27139
136,Sweden,34.1,48.5,51.2,82.5,31.1,31715
137,Canada,46.4,80.7,48.1,63.6,47.4,36299
138,Hong Kong,41.5,81.1,48.5,68.4,37.5,17916
138,Germany,37.7,56.7,47.5,73.8,99.5,25294
140,UK,33.4,88.3,37.2,86.1,30.6,12001
141,America,40.2,48.9,36.3,88.1,52.2,56959
142,Austria,40.8,92.6,50.5,63.6,30.2,34651
143,UK,40.3,80.6,39,77.5,39.8,30144
144,America,31.1,45.6,34.2,99.9,36.1,17404
144,Switzerland,30.9,89.2,45.6,76.2,56,11964
146,Spain,40.3,50.3,40,83.8,34.9,30538
147,America,38.8,43.4,37.5,87.3,37.9,23845
148,South Korea,43.3,33.9,40.5,75.9,100,9027
149,Australia,32.8,85.1,43.2,72.4,79.3,20771
149,UK,31.9,83.5,28.7,92.7,28.5,14992
149,Netherlands,34.1,80.1,45.6,68.8,91.2,6631
153,South Korea,51.4,36.7,53.5,53.8,97.5,24365
154,Netherlands,28.4,54.9,37.1,90.7,60.1,23280
155,Sweden,39,84.4,44.3,63.9,78.1,12062
156,Germany,42.2,53.1,38,75,68.5,43280
157,UK,32.8,85.4,30.9,85.9,36.6,18815
158,Germany,41.4,47.7,45.8,66.1,99.7,35487
158,America,39.7,55.8,27.9,89,37,9390
160,Ireland,41.9,90.5,30.8,75.8,28,15521
161,Russia,75.4,57.8,66.7,8.6,95.7,30822
161,America,41.7,64,22.3,90.1,35.5,15286
163,America,38.7,38.6,41.8,79.5,32.4,36429
164,Spain,32.9,63.3,28,90.7,37.2,10901
164,UK,39.3,85.1,37.3,69.9,34.2,12050
164,America,44.8,28.5,23.7,92.8,-,6753
167,America,27.5,59.5,33.3,91.2,42.5,20626
167,UK,32.1,86.6,27.8,86,31.7,14541
167,Taiwan,54.1,27.7,58,47.3,49.6,31891
167,Denmark,37.3,85.1,29.9,77.8,50,9990
167,Belgium,38.7,74.2,40.6,68.4,51,28856
172,UK,29.7,91.4,31.4,82.6,43.1,12938
172,New Zealand,31.4,90.5,39.5,69.8,78,29787
174,Spain,38.5,49.2,37.4,78.9,31.1,47491
175,Germany,38.5,58.3,46.7,61.9,92.4,10930
176,Netherlands,34.3,71.3,41,70.7,57.3,8176
176,Ireland,35,86.3,38.5,70.8,33.5,22193
178,Israel,45.8,55.6,41.4,64.6,31.9,17612
179,Canada,35.4,74.4,43.9,66.5,39.5,30726
180,Sweden,28.5,58.3,39.8,81.8,30.3,26420
180,Italy,42.5,45.2,23.2,84.5,71.2,769
182,Norway,32.5,70,31.5,82.4,36.2,11623
182,UK,30.9,78.1,31.6,82,34.6,23347
182,America,35.6,30.1,35.3,83.7,57.4,25674
185,America,28.3,47,25.7,97.3,38.6,5495
185,UK,25.6,78.5,26.9,90.2,49.5,11628
185,Germany,34.6,50.9,35.8,79.1,47.9,26576
188,France,38.7,64.2,29,79.8,28.8,27603
189,America,32.4,31.9,38.1,84.6,32,83236
190,Belgium,31.6,64.8,40.8,71.7,60.3,12346
190,America,34.1,60,29.3,83.3,46.8,13216
192,Germany,35.2,58.2,23.9,86.4,58.4,9187
193,Luxembourg,25,99.8,26.7,84.8,38.1,5144
193,America,49.4,47.8,52.4,47.1,46.4,50657
195,Germany,37.3,61.1,22.2,83.8,68.4,6853
196,UK,30.9,84.3,27.5,81.5,34.7,20174
196,UK,25.6,69.5,18.1,100,37.7,2958
198,Italy,30.8,55.9,27.4,87.7,47.1,16841
199,France,30.5,64.9,22.9,91,29,27756
200,UK,34.1,93.4,33.3,68.9,35.7,17940